Tijdstempel,"In your opinion, which sentence is more grammatically correct?","Prior to reading about it above, had you heard of the serial (or Oxford) comma?","How much, if at all, do you care about the use (or lack thereof) of the serial (or Oxford) comma in grammar?",How would you write the following sentence?,"When faced with using the word ""data"", have you ever spent time considering if the word was a singular or plural noun?","How much, if at all, do you care about the debate over the use of the word ""data"" as a singular or plural noun?","In your opinion, how important or unimportant is proper use of grammar?",Sex,Age,Household income,Education,Location
9-11-2022 19:07:09,"It's important for a person to be honest, kind, and loyal.",Yes,Not at all,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not at all,Somewhat important,Male,18-29,"$150,000+",Graduate degree,West North Central
9-11-2022 19:29:38,"It's important for a person to be honest, kind, and loyal.",Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Not at all,Somewhat important,Male,18-29,"$50,000 - $99,999",Graduate degree,East North Central
9-11-2022 19:32:53,"It's important for a person to be honest, kind, and loyal.",No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Not much,Very important,Female,18-29,"$0 - $24,999",Bachelor degree,Pacific
9-11-2022 20:00:06,"It's important for a person to be honest, kind, and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,A lot,Very important,Male,18-29,"$150,000+",Bachelor degree,Middle Atlantic
9-11-2022 20:00:43,"It's important for a person to be honest, kind, and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Not much,Somewhat important,Female,18-29,"$150,000+",Some college or Associate degree,East North Central
9-11-2022 20:05:47,"It's important for a person to be honest, kind, and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not at all,Very important,Male,18-29,"$50,000 - $99,999",Some college or Associate degree,Pacific
9-11-2022 20:14:21,"It's important for a person to be honest, kind, and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not at all,Very important,Female,18-29,"$150,000+",Bachelor degree,Mountain
9-11-2022 20:17:23,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Not much,Somewhat unimportant,Female,18-29,"$50,000 - $99,999",Some college or Associate degree,Pacific
9-11-2022 20:23:34,"It's important for a person to be honest, kind, and loyal.",Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important,Female,30-44,"$150,000+",Graduate degree,Pacific
9-11-2022 20:34:01,"It's important for a person to be honest, kind, and loyal.",No,Some,"Some experts say it's important to drink milk, but the data are inconclusive.",Yes,Some,Somewhat important,Female,45-60,"$150,000+",Graduate degree,Mountain
9-11-2022 20:36:12,"It's important for a person to be honest, kind, and loyal.",Yes,Not much,"Some experts say it's important to drink milk, but the data are inconclusive.",Yes,Not much,Somewhat important,Female,45-60,"$150,000+",Graduate degree,South Atlantic
9-11-2022 20:36:48,"It's important for a person to be honest, kind, and loyal.",Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important,Female,>60,"$150,000+",Graduate degree,Mountain
9-11-2022 20:42:45,"It's important for a person to be honest, kind, and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",No,A lot,Very important,Male,18-29,"$50,000 - $99,999",Bachelor degree,Pacific
9-11-2022 20:52:53,"It's important for a person to be honest, kind and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Some,Somewhat important,Male,18-29,"$150,000+",Graduate degree,Pacific
9-11-2022 21:48:31,"It's important for a person to be honest, kind and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Not at all,Very important,Male,18-29,"$100,000 - $149,999",Graduate degree,Middle Atlantic
9-11-2022 23:12:52,"It's important for a person to be honest, kind, and loyal.",Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not at all,Somewhat unimportant,Female,18-29,"$150,000+",Some college or Associate degree,East North Central
10-11-2022 1:02:43,"It's important for a person to be honest, kind, and loyal.",No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Not much,Somewhat important,Male,30-44,"$100,000 - $149,999",Bachelor degree,Pacific
10-11-2022 5:05:40,"It's important for a person to be honest, kind and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Some,Very important,Female,45-60,"$100,000 - $149,999",Graduate degree,Mountain
10-11-2022 5:17:41,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Not much,Very important,Female,>60,"$150,000+",Graduate degree,South Atlantic
10-11-2022 13:15:02,"It's important for a person to be honest, kind, and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data are inconclusive.",No,Not at all,Very important,Female,45-60,"$150,000+",Bachelor degree,South Atlantic
10-11-2022 13:15:16,"It's important for a person to be honest, kind, and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,A lot,Very important,Male,18-29,,Bachelor degree,Pacific
10-11-2022 13:43:53,"It's important for a person to be honest, kind, and loyal.",No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Somewhat important,Male,18-29,"$150,000+",Some college or Associate degree,Pacific
10-11-2022 14:19:18,"It's important for a person to be honest, kind, and loyal.",Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Somewhat important,Male,18-29,"$100,000 - $149,999",Bachelor degree,Mountain
10-11-2022 15:51:43,"It's important for a person to be honest, kind and loyal.",Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Some,Very important,Female,45-60,"$100,000 - $149,999",Graduate degree,South Atlantic
10-11-2022 16:09:55,"It's important for a person to be honest, kind, and loyal.",Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Somewhat important,Female,45-60,"$150,000+",Graduate degree,South Atlantic
10-11-2022 17:13:28,"It's important for a person to be honest, kind, and loyal.",Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Somewhat important,Female,>60,"$150,000+",Graduate degree,South Atlantic
10-11-2022 17:20:30,"It's important for a person to be honest, kind, and loyal.",No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Some,Somewhat important,Female,45-60,"$150,000+",Some college or Associate degree,Mountain
10-11-2022 18:39:36,"It's important for a person to be honest, kind, and loyal.",No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Some,Very important,Female,45-60,,Graduate degree,East South Central
10-11-2022 19:55:56,"It's important for a person to be honest, kind and loyal.",Yes,Not at all,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not at all,Somewhat important,Female,18-29,"$50,000 - $99,999",Some college or Associate degree,Pacific
10-11-2022 21:30:21,"It's important for a person to be honest, kind, and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not at all,Very important,Female,18-29,"$150,000+",Some college or Associate degree,East North Central
11-11-2022 12:29:26,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not at all,Somewhat important,Female,18-29,"$0 - $24,999",Bachelor degree,Pacific